"filename", "language", "Java", "HTML", "Markdown", "Ini", "comment", "blank", "total"
"g:\My Drive\Java Project\Java Project\Classes\Cookware.java", "Java", -126, 0, 0, 0, -4, -10, -140
"g:\My Drive\Java Project\Java Project\Classes\Counter.java", "Java", -141, 0, 0, 0, -4, -15, -160
"g:\My Drive\Java Project\Java Project\Classes\DeepCopy.java", "Java", -23, 0, 0, 0, -2, 0, -25
"g:\My Drive\Java Project\Java Project\Classes\Dish.java", "Java", -64, 0, 0, 0, -2, -8, -74
"g:\My Drive\Java Project\Java Project\Classes\Grid.java", "Java", -45, 0, 0, 0, -2, -3, -50
"g:\My Drive\Java Project\Java Project\Classes\Holdable.java", "Java", -10, 0, 0, 0, 0, -3, -13
"g:\My Drive\Java Project\Java Project\Classes\Item.java", "Java", -198, 0, 0, 0, -5, -24, -227
"g:\My Drive\Java Project\Java Project\Classes\Kitchen.java", "Java", -226, 0, 0, 0, -11, -17, -254
"g:\My Drive\Java Project\Java Project\Classes\Level.java", "Java", -117, 0, 0, 0, 0, -8, -125
"g:\My Drive\Java Project\Java Project\Classes\Memory.java", "Java", -11, 0, 0, 0, 0, -2, -13
"g:\My Drive\Java Project\Java Project\Classes\Player.java", "Java", -166, 0, 0, 0, -2, -15, -183
"g:\My Drive\Java Project\Java Project\Classes\Recipe.java", "Java", -118, 0, 0, 0, -6, -7, -131
"g:\My Drive\Java Project\Java Project\Documents\Classes\Cookware.md", "Markdown", 0, 0, -55, 0, -1, -21, -77
"g:\My Drive\Java Project\Java Project\Documents\Classes\Counter.md", "Markdown", 0, 0, -56, 0, -1, -22, -79
"g:\My Drive\Java Project\Java Project\Documents\Classes\DeepCopy.md", "Markdown", 0, 0, -2, 0, 0, -2, -4
"g:\My Drive\Java Project\Java Project\Documents\Classes\Dish.md", "Markdown", 0, 0, -31, 0, -1, -13, -45
"g:\My Drive\Java Project\Java Project\Documents\Classes\FinalProject.md", "Markdown", 0, 0, -27, 0, -1, -9, -37
"g:\My Drive\Java Project\Java Project\Documents\Classes\Grid.md", "Markdown", 0, 0, -36, 0, -1, -6, -43
"g:\My Drive\Java Project\Java Project\Documents\Classes\Holdable.md", "Markdown", 0, 0, -27, 0, -1, -8, -36
"g:\My Drive\Java Project\Java Project\Documents\Classes\Item.md", "Markdown", 0, 0, -115, 0, -1, -26, -142
"g:\My Drive\Java Project\Java Project\Documents\Classes\Kitchen.md", "Markdown", 0, 0, -65, 0, -1, -24, -90
"g:\My Drive\Java Project\Java Project\Documents\Classes\Level.md", "Markdown", 0, 0, -81, 0, -1, -25, -107
"g:\My Drive\Java Project\Java Project\Documents\Classes\Memory.md", "Markdown", 0, 0, -20, 0, -1, -10, -31
"g:\My Drive\Java Project\Java Project\Documents\Classes\Player.md", "Markdown", 0, 0, -51, 0, -1, -26, -78
"g:\My Drive\Java Project\Java Project\Documents\Classes\Recipe.md", "Markdown", 0, 0, -58, 0, -1, -16, -75
"g:\My Drive\Java Project\Java Project\Documents\Classes\Tile.md", "Markdown", 0, 0, -28, 0, -1, -4, -33
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\Frame.md", "Markdown", 0, 0, -19, 0, 0, -6, -25
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\ImageLable.md", "Markdown", 0, 0, -31, 0, -1, -14, -46
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\PremadeElement.md", "Markdown", 0, 0, -18, 0, -1, -4, -23
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\ScreenGui.md", "Markdown", 0, 0, -25, 0, 0, -4, -29
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\ScreenSize.md", "Markdown", 0, 0, -14, 0, 0, -5, -19
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\TextBox.md", "Markdown", 0, 0, -23, 0, -1, -13, -37
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\TextLabel.md", "Markdown", 0, 0, -27, 0, -1, -14, -42
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\UiElement.md", "Markdown", 0, 0, -27, 0, -1, -11, -39
"g:\My Drive\Java Project\Java Project\Documents\Classes\UiLibrary\UiTween.md", "Markdown", 0, 0, -40, 0, -1, -17, -58
"g:\My Drive\Java Project\Java Project\Documents\Classes\easingTypes\Douccument.md", "Markdown", 0, 0, -11, 0, -1, -2, -14
"g:\My Drive\Java Project\Java Project\Documents\Classes\easingTypes\Tween.md", "Markdown", 0, 0, -38, 0, -1, -16, -55
"g:\My Drive\Java Project\Java Project\Documents\MainDocument.md", "Markdown", 0, 0, -30, 0, 0, -5, -35
"g:\My Drive\Java Project\Java Project\Documents\README.md", "Markdown", 0, 0, -83, 0, -1, -25, -109
"g:\My Drive\Java Project\Java Project\Documents\Reports\ReportWeek1.md", "Markdown", 0, 0, -19, 0, -2, -1, -22
"g:\My Drive\Java Project\Java Project\Documents\Reports\ReportWeek2.md", "Markdown", 0, 0, -20, 0, -2, 0, -22
"g:\My Drive\Java Project\Java Project\Documents\Reports\ReportWeek3.md", "Markdown", 0, 0, -14, 0, -2, 0, -16
"g:\My Drive\Java Project\Java Project\Documents\Templet.md", "Markdown", 0, 0, -26, 0, -1, -7, -34
"g:\My Drive\Java Project\Java Project\FinalProject.java", "Java", -125, 0, 0, 0, -7, -14, -146
"g:\My Drive\Java Project\Java Project\TestCases\KitchenTestCase.java", "Java", -14, 0, 0, 0, 0, -2, -16
"g:\My Drive\Java Project\Java Project\TestCases\Testcase.java", "Java", -19, 0, 0, 0, -1, -2, -22
"g:\My Drive\Java Project\Java Project\TestCases\TestcaseR.java", "Java", -11, 0, 0, 0, -1, -1, -13
"g:\My Drive\Java Project\Java Project\TestCases\UITest1.java", "Java", -72, 0, 0, 0, -2, -10, -84
"g:\My Drive\Java Project\Java Project\TestCases\UiTest3.java", "Java", -17, 0, 0, 0, 0, -2, -19
"g:\My Drive\Java Project\Java Project\TestCases\UiTesting.java", "Java", -25, 0, 0, 0, 0, 0, -25
"g:\My Drive\Java Project\Java Project\UiClasses\Frame.java", "Java", -60, 0, 0, 0, -18, -5, -83
"g:\My Drive\Java Project\Java Project\UiClasses\ImageLable.java", "Java", -89, 0, 0, 0, 0, -2, -91
"g:\My Drive\Java Project\Java Project\UiClasses\ScreenGui.java", "Java", -68, 0, 0, 0, -1, -4, -73
"g:\My Drive\Java Project\Java Project\UiClasses\ScreenSize.java", "Java", -17, 0, 0, 0, -2, -2, -21
"g:\My Drive\Java Project\Java Project\UiClasses\TextBox.java", "Java", -61, 0, 0, 0, 0, -3, -64
"g:\My Drive\Java Project\Java Project\UiClasses\TextLable.java", "Java", -82, 0, 0, 0, 0, -3, -85
"g:\My Drive\Java Project\Java Project\UiClasses\TweenProperty.java", "Java", -7, 0, 0, 0, 0, -2, -9
"g:\My Drive\Java Project\Java Project\UiClasses\UiClasses copy.java", "Java", -308, 0, 0, 0, -23, -14, -345
"g:\My Drive\Java Project\Java Project\UiClasses\UiElement.java", "Java", -11, 0, 0, 0, 0, -2, -13
"g:\My Drive\Java Project\Java Project\UiClasses\UiTween.java", "Java", -98, 0, 0, 0, -1, -5, -104
"g:\My Drive\Java Project\Java Project\assets\Cookware\Pan.java", "Java", -11, 0, 0, 0, 0, -4, -15
"g:\My Drive\Java Project\Java Project\assets\Cookware\Pot.java", "Java", -11, 0, 0, 0, 0, -4, -15
"g:\My Drive\Java Project\Java Project\assets\Counters\Carrot.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\Cheese.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\CleanDishCounter.java", "Java", -36, 0, 0, 0, 0, -4, -40
"g:\My Drive\Java Project\Java Project\assets\Counters\CuttingBoard.java", "Java", -36, 0, 0, 0, -3, -3, -42
"g:\My Drive\Java Project\Java Project\assets\Counters\Lettuce.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\Meat.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\Receive.java", "Java", -36, 0, 0, 0, 0, -2, -38
"g:\My Drive\Java Project\Java Project\assets\Counters\Server.java", "Java", -49, 0, 0, 0, -1, -6, -56
"g:\My Drive\Java Project\Java Project\assets\Counters\Sink.java", "Java", -60, 0, 0, 0, -3, -4, -67
"g:\My Drive\Java Project\Java Project\assets\Counters\Stove.java", "Java", -35, 0, 0, 0, 0, -3, -38
"g:\My Drive\Java Project\Java Project\assets\Counters\Tomato.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\Trashcan.java", "Java", -27, 0, 0, 0, 0, -3, -30
"g:\My Drive\Java Project\Java Project\assets\Counters\counter.java", "Java", -18, 0, 0, 0, -1, -2, -21
"g:\My Drive\Java Project\Java Project\assets\Images\Menu\HowToPlay\desktop.ini", "Ini", 0, 0, 0, -7, 0, 0, -7
"g:\My Drive\Java Project\Java Project\assets\Items\Bread.java", "Java", -22, 0, 0, 0, 0, -1, -23
"g:\My Drive\Java Project\Java Project\assets\Items\Carrot.java", "Java", -41, 0, 0, 0, 0, -1, -42
"g:\My Drive\Java Project\Java Project\assets\Items\Cheese.java", "Java", -33, 0, 0, 0, -2, -1, -36
"g:\My Drive\Java Project\Java Project\assets\Items\Lettuce.java", "Java", -38, 0, 0, 0, 0, -1, -39
"g:\My Drive\Java Project\Java Project\assets\Items\Meat.java", "Java", -29, 0, 0, 0, 0, -2, -31
